

Running sweep: full (variants*taps*N)

=== full sweep: variants x taps x N (isolated) ===

CSV,variant,taps,N,iters,cycles,overhead,net,per_out_x100,checksum

CSV,scalar,4,32,500,757013,118523,638490,4403,2175000
CSV,scalar,4,64,500,1589013,246523,1342490,4401,9455000
CSV,scalar,4,128,500,3253013,502523,2750490,4400,39375000
CSV,scalar,8,32,500,1153013,102523,1050490,8403,6450000
CSV,scalar,8,64,500,2625013,230523,2394490,8401,31122000
CSV,scalar,8,128,500,5569013,486523,5082490,8400,135762000
CSV,scalar,16,32,500,1465013,70523,1394490,16405,15028000
CSV,scalar,16,64,500,4217013,198523,4018490,16402,96628000
CSV,scalar,16,128,500,9721013,454523,9266490,16400,468724000
CSV,scalar,32,32,500,169013,6523,162490,32498,2728000
CSV,scalar,32,64,500,5481013,134523,5346490,32402,229416000
CSV,scalar,32,128,500,16105013,390523,15714490,32401,1493800000
CSV,mac16,4,32,500,410050,118523,291527,2010,2175000
CSV,mac16,4,64,500,858050,246523,611527,2005,9455000
CSV,mac16,4,128,500,1754050,502523,1251527,2002,39375000
CSV,mac16,8,32,500,604050,102523,501527,4012,6450000
CSV,mac16,8,64,500,1372050,230523,1141527,4005,31122000
CSV,mac16,8,128,500,2908050,486523,2421527,4002,135762000
CSV,mac16,16,32,500,752050,70523,681527,8017,15028000
CSV,mac16,16,64,500,2160050,198523,1961527,8006,96628000
CSV,mac16,16,128,500,4976050,454523,4521527,8002,468724000
CSV,mac16,32,32,500,100050,6523,93527,18705,2728000
CSV,mac16,32,64,500,3172050,134523,3037527,18409,229416000
CSV,mac16,32,128,500,9316050,390523,8925527,18403,1493800000
CSV,unroll2,4,32,500,440057,118523,321534,2217,2175000
CSV,unroll2,4,64,500,920057,246523,673534,2208,9455000
CSV,unroll2,4,128,500,1880057,502523,1377534,2204,39375000
CSV,unroll2,8,32,500,592578,102523,490055,3920,6450000
CSV,unroll2,8,64,500,1344578,230523,1114055,3908,31122000
CSV,unroll2,8,128,500,2848578,486523,2362055,3904,135762000
CSV,unroll2,16,32,500,702098,70523,631575,7430,15028000
CSV,unroll2,16,64,500,2014098,198523,1815575,7410,96628000
CSV,unroll2,16,128,500,4638098,454523,4183575,7404,468724000
CSV,unroll2,32,32,500,89098,6523,82575,16515,2728000
CSV,unroll2,32,64,500,2777098,134523,2642575,16015,229416000
CSV,unroll2,32,128,500,8153098,390523,7762575,16005,1493800000
CSV,acc_reg,4,32,500,425050,118523,306527,2113,2175000
CSV,acc_reg,4,64,500,889050,246523,642527,2106,9455000
CSV,acc_reg,4,128,500,1817050,502523,1314527,2103,39375000
CSV,acc_reg,8,32,500,567050,102523,464527,3716,6450000
CSV,acc_reg,8,64,500,1287050,230523,1056527,3707,31122000
CSV,acc_reg,8,128,500,2727050,486523,2240527,3703,135762000
CSV,acc_reg,16,32,500,659050,70523,588527,6923,15028000
CSV,acc_reg,16,64,500,1891050,198523,1692527,6908,96628000
CSV,acc_reg,16,128,500,4355050,454523,3900527,6903,468724000
CSV,acc_reg,32,32,500,87550,6523,81027,16205,2728000
CSV,acc_reg,32,64,500,2743550,134523,2609027,15812,229416000
CSV,acc_reg,32,128,500,8055550,390523,7665027,15804,1493800000
CSV,circ,4,32,500,628551,118523,510028,3517,2175000
CSV,circ,4,64,500,1316551,246523,1070028,3508,9455000
CSV,circ,4,128,500,2692551,502523,2190028,3504,39375000
CSV,circ,8,32,500,992551,102523,890028,7120,6450000
CSV,circ,8,64,500,2256551,230523,2026028,7108,31122000
CSV,circ,8,128,500,4784551,486523,4298028,7104,135762000
CSV,circ,16,32,500,1288551,70523,1218028,14329,15028000
CSV,circ,16,64,500,3704551,198523,3506028,14310,96628000
CSV,circ,16,128,500,8536551,454523,8082028,14304,468724000
CSV,circ,32,32,500,161551,6523,155028,31005,2728000
CSV,circ,32,64,500,5169551,134523,5035028,30515,229416000
CSV,circ,32,128,500,15185551,390523,14795028,30505,1493800000
CSV,swin,4,32,500,167517,118523,48994,337,2175000
CSV,swin,4,64,500,343517,246523,96994,318,9455000
CSV,swin,4,128,500,695517,502523,192994,308,39375000
CSV,loaded,4,32,500,236014,118523,117491,810,2175000
CSV,loaded,4,64,500,492014,246523,245491,804,9455000
CSV,loaded,4,128,500,1004014,502523,501491,802,39375000

=== end full sweep ===
